ISOAlpha2;CommodityName;UnitFactor;Concentration;ConcComment;UsedFactor;UsedComment
AO;"Sulphur as a by-product of natural gas etc.";0;NULL;NULL;0.001;0
AO;"Talc (steatite, soapstone, pyrophyllite)";0;NULL;NULL;0.001;0
AO;"Talcous slate";0;NULL;NULL;0.001;0
AO;Asbestos;0;NULL;NULL;0.001;"fibre; BGS reports sometimes chrysotile and Amphibole"
AO;Gluesand;0;NULL;NULL;0.001;0
AO;"Gypsum and anhydrite";0.001;1;NULL;0.001;0
AO;Perlite;0;NULL;NULL;0.001;0
AO;"Marble, travertines etc.";0;NULL;NULL;2.55;0
AO;Asphalt;0;NULL;NULL;1;0
AO;Loam;0;NULL;NULL;0.001;0
AO;Lavasand;0;NULL;NULL;0.001;0
AO;"Sand and gravel";0;NULL;NULL;0.001;0
VN;"Construction Minerals nec";0.001;1;NULL;0.001;0
AR;"Iron ores";0.001;NULL;NULL;0.001;Fe
AR;Beryllium;0.001;NULL;NULL;0.001;0
AR;Feldspar;0.001;1;NULL;0.001;0
AR;Cadmium;0.001;1;NULL;0.001;"By-product of other ores"
AR;Cobalt;0;NULL;NULL;0.001;Co
AR;Copper;0.001;0.0066;NULL;0.151515151515152;"National metal contents"
AR;Germanium;0;NULL;NULL;0.001;Ge
AR;Gold;1e-06;2.5e-06;NULL;0.4;"National metal contents"
AR;Lead;0.001;0.056;NULL;0.007554544;"based on assumptions of lead/zinc coupled production"
AR;Lithium;0.001;0.0014;NULL;0.001;"Regional average"
AR;Manganeese;0.001;NULL;NULL;0.001;"World average concentration"
AR;Mercury;1e-06;0.0105;NULL;9.52380952380952e-05;"Global average"
